title,year,type,critics_score,audience_score
Extremely Loud & Incredibly Close,2011,oscar_nomination,46,61
The Help,2011,oscar_nomination,76,89
Hugo,2011,oscar_nomination,93,78
Midnight in Paris,2011,oscar_nomination,93,83
Moneyball,2011,oscar_nomination,94,86
The Tree of Life,2011,oscar_nomination,84,60
War Horse,2011,oscar_nomination,75,74
Argo,2012,oscar_nomination,96,90
Amour,2012,oscar_nomination,93,82
Beasts of the Southern Wild,2012,oscar_nomination,87,76
Django Unchained,2012,oscar_nomination,86,91
Les Misérables,2012,oscar_nomination,69,79
Life of Pi,2012,oscar_nomination,87,84
Lincoln,2012,oscar_nomination,89,80
Silver Linings Playbook,2012,oscar_nomination,92,86
Zero Dark Thirty,2012,oscar_nomination,92,80
12 Years a Slave,2013,oscar_nomination,95,90
American Hustle,2013,oscar_nomination,92,74
Captain Phillips,2013,oscar_nomination,93,89
Dallas Buyers Club,2013,oscar_nomination,93,91
Her,2013,oscar_nomination,94,82
Nebraska,2013,oscar_nomination,91,83
Philomena,2013,oscar_nomination,90,89
The Wolf of Wall Street,2013,oscar_nomination,79,82
Birdman or (The Unexpected Virtue of Ignorance),2014,oscar_nomination,91,77
American Sniper,2014,oscar_nomination,72,84
Boyhood,2014,oscar_nomination,97,80
The Grand Budapest Hotel,2014,oscar_nomination,91,86
The Imitation Game,2014,oscar_nomination,89,91
Selma,2014,oscar_nomination,99,86
The Theory of Everything,2014,oscar_nomination,79,84
Whiplash,2014,oscar_nomination,93,94
Spotlight,2015,oscar_nomination,97,93
The Big Short,2015,oscar_nomination,88,87
Bridge of Spies,2015,oscar_nomination,91,87
Brooklyn,2015,oscar_nomination,97,87
Mad Max: Fury Road,2015,oscar_nomination,97,85
The Revenant,2015,oscar_nomination,79,84
Room,2015,oscar_nomination,26,47
Moonlight,2016,oscar_nomination,98,79
Arrival,2016,oscar_nomination,94,82
Fences,2016,oscar_nomination,92,75
Hacksaw Ridge,2016,oscar_nomination,85,91
Hell or High Water,2016,oscar_nomination,97,88
Hidden Figures,2016,oscar_nomination,93,93
La La Land,2016,oscar_nomination,91,81
Lion,2016,oscar_nomination,85,91
Manchester by the Sea,2016,oscar_nomination,96,77
The Shape of Water,2017,oscar_nomination,92,72
Call Me by Your Name,2017,oscar_nomination,95,86
Darkest Hour,2017,oscar_nomination,85,82
Dunkirk,2017,oscar_nomination,92,81
Get Out,2017,oscar_nomination,98,86
Lady Bird,2017,oscar_nomination,99,79
Phantom Thread,2017,oscar_nomination,91,70
The Post,2017,oscar_nomination,88,73
"Three Billboards Outside Ebbing, Missouri",2017,oscar_nomination,90,87
Green Book,2018,oscar_nomination,78,91
BlacKkKlansman,2018,oscar_nomination,96,82
The Favourite,2018,oscar_nomination,93,68
Roma,2018,oscar_nomination,96,71
A Star Is Born,2018,oscar_nomination,90,79
Vice,2018,oscar_nomination,66,59
